origin_id,origin_label,facility_id,facility_name,mode,distance_km,estimated_minutes,outdoor_minutes,transfers,slope_level,entrance_distance_m,status,route_source,collected_at
장전부곡생활권_부산대역,"도시철도 부산대역 북측 공영 주차장, 장전온천천로, 장전1동, 금정구, 부산광역시, 46279, 대한민국",GJH358,의료법인 삼세의료재단 삼세한방병원,pedestrian,8.318,101.0,101.0,0,미확인,미확인,OSM 보행경로 계산,OpenStreetMap/Nominatim + Valhalla public demo,2026-07-14
장전부곡생활권_부산대역,"도시철도 부산대역 북측 공영 주차장, 장전온천천로, 장전1동, 금정구, 부산광역시, 46279, 대한민국",GJH360,다움병원,pedestrian,12.312,153.0,153.0,0,미확인,미확인,OSM 보행경로 계산,OpenStreetMap/Nominatim + Valhalla public demo,2026-07-14
장전부곡생활권_부산대역,"도시철도 부산대역 북측 공영 주차장, 장전온천천로, 장전1동, 금정구, 부산광역시, 46279, 대한민국",GJH340,의료법인 천지의료재단 금샘요양병원,pedestrian,10.06,124.3,124.3,0,미확인,미확인,OSM 보행경로 계산,OpenStreetMap/Nominatim + Valhalla public demo,2026-07-14
구서남산생활권_구서역,"구서역, 중앙대로, 구서1동, 금정구, 부산광역시, 46274, 대한민국",GJH332,지온병원,pedestrian,2.767,32.9,32.9,0,미확인,미확인,OSM 보행경로 계산,OpenStreetMap/Nominatim + Valhalla public demo,2026-07-14
구서남산생활권_구서역,"구서역, 중앙대로, 구서1동, 금정구, 부산광역시, 46274, 대한민국",GJH333,더케이부산병원,pedestrian,0.245,3.0,3.0,0,미확인,미확인,OSM 보행경로 계산,OpenStreetMap/Nominatim + Valhalla public demo,2026-07-14
구서남산생활권_구서역,"구서역, 중앙대로, 구서1동, 금정구, 부산광역시, 46274, 대한민국",GJH334,화창한병원,pedestrian,1.49,17.7,17.7,0,미확인,미확인,OSM 보행경로 계산,OpenStreetMap/Nominatim + Valhalla public demo,2026-07-14
구서남산생활권_구서역,"구서역, 중앙대로, 구서1동, 금정구, 부산광역시, 46274, 대한민국",GJH335,단골병원,pedestrian,2.527,30.1,30.1,0,미확인,미확인,OSM 보행경로 계산,OpenStreetMap/Nominatim + Valhalla public demo,2026-07-14
구서남산생활권_구서역,"구서역, 중앙대로, 구서1동, 금정구, 부산광역시, 46274, 대한민국",GJH337,더희망찬병원,pedestrian,2.797,33.1,33.1,0,미확인,미확인,OSM 보행경로 계산,OpenStreetMap/Nominatim + Valhalla public demo,2026-07-14
구서남산생활권_구서역,"구서역, 중앙대로, 구서1동, 금정구, 부산광역시, 46274, 대한민국",GJH339,부산마이크로병원,pedestrian,1.79,21.2,21.2,0,미확인,미확인,OSM 보행경로 계산,OpenStreetMap/Nominatim + Valhalla public demo,2026-07-14
구서남산생활권_구서역,"구서역, 중앙대로, 구서1동, 금정구, 부산광역시, 46274, 대한민국",GJH344,순병원,pedestrian,1.652,20.9,20.9,0,미확인,미확인,OSM 보행경로 계산,OpenStreetMap/Nominatim + Valhalla public demo,2026-07-14
구서남산생활권_구서역,"구서역, 중앙대로, 구서1동, 금정구, 부산광역시, 46274, 대한민국",GJH346,온사랑병원,pedestrian,3.556,45.1,45.1,0,미확인,미확인,OSM 보행경로 계산,OpenStreetMap/Nominatim + Valhalla public demo,2026-07-14
구서남산생활권_구서역,"구서역, 중앙대로, 구서1동, 금정구, 부산광역시, 46274, 대한민국",GJH347,메드윌병원,pedestrian,1.652,20.9,20.9,0,미확인,미확인,OSM 보행경로 계산,OpenStreetMap/Nominatim + Valhalla public demo,2026-07-14
구서남산생활권_구서역,"구서역, 중앙대로, 구서1동, 금정구, 부산광역시, 46274, 대한민국",GJH349,새우리병원,pedestrian,2.527,30.1,30.1,0,미확인,미확인,OSM 보행경로 계산,OpenStreetMap/Nominatim + Valhalla public demo,2026-07-14
구서남산생활권_구서역,"구서역, 중앙대로, 구서1동, 금정구, 부산광역시, 46274, 대한민국",GJH351,의료법인아너의료재단 아름다운강산병원,pedestrian,5.439,66.7,66.7,0,미확인,미확인,OSM 보행경로 계산,OpenStreetMap/Nominatim + Valhalla public demo,2026-07-14
구서남산생활권_구서역,"구서역, 중앙대로, 구서1동, 금정구, 부산광역시, 46274, 대한민국",GJH359,세웅병원,pedestrian,4.191,52.4,52.4,0,미확인,미확인,OSM 보행경로 계산,OpenStreetMap/Nominatim + Valhalla public demo,2026-07-14
